code,1,2,3,4
M.0.EL,Total,,emissions,(excl. LULUCF)
1.B.3,Other,,emissions,from energy production
2.G,Other,,emissions,from product manufacture and use
2.H,Other,,emissions,from IPPU
1,Energy,,emissions
1.B,Fugitive,,emissions
5,Other,,emissions
1.B.2,Oil and gas,,emissions
2.D,,emissions from,non-energy products from fuels and solvents
2.F,,emissions from,product use substitutes for ozone depleting substances
4,,emissions from,waste
1.C,,emissions from,CO2 transport and storage
1.A,,emissions from,fuel combustion
3.A,,emissions from,livestock
1.B.1,,emissions from,solid fuels
2,,emissions from,IPPU
2.A,,emissions from,mineral industry
2.B,,emissions from,chemical industry
2.C,,emissions from,metal industry
2.E,,emissions from,electronics industry
M.AG,,emissions from,agriculture
M.AG.ELV,,emissions from,agriculture (excl. livestock)
