category,country,scenario,source,unit,variable,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
M.0.EL,AFG,HISTCR,PRIMAP-hist_v2.3.1,Gg CO2 / yr,CO2-total-excl-LU,2810.0,2640.0,1590.0,1520.0,1440.0,1370.0,1290.0,1210.0,1150.0,935.0,921.0,964.0,1240.0,1380.0,1080.0,1500.0,1840.0,2470.0,4420.0,6970.0,8650.0,12400.0,10500.0,8830.0,8140.0,8230.0,7100.0,6860.0,7060.0,9780.0
M.0.EL,AGO,HISTCR,PRIMAP-hist_v2.3.1,Gg CO2 / yr,CO2-total-excl-LU,10800.0,11200.0,11600.0,12000.0,9620.0,18600.0,19600.0,16600.0,17200.0,18100.0,16700.0,16600.0,16700.0,18400.0,16600.0,15800.0,17500.0,18000.0,19200.0,21100.0,23500.0,24700.0,26500.0,26300.0,38000.0,29100.0,30300.0,29600.0,27600.0,27000.0
M.0.EL,ALB,HISTCR,PRIMAP-hist_v2.3.1,Gg CO2 / yr,CO2-total-excl-LU,4270.0,6050.0,4030.0,3920.0,4200.0,4080.0,3990.0,4150.0,4890.0,5230.0,3550.0,4270.0,4380.0,4700.0,5040.0,4540.0,5030.0,5480.0,5610.0,6010.0,5900.0,6660.0,6390.0,6590.0,7300.0,6220.0,6210.0,7160.0,6670.0,7090.0
M.0.EL,AND,HISTCR,PRIMAP-hist_v2.3.1,Gg CO2 / yr,CO2-total-excl-LU,409.0,417.0,426.0,436.0,439.0,466.0,496.0,508.0,534.0,557.0,568.0,568.0,574.0,577.0,601.0,616.0,584.0,579.0,579.0,554.0,556.0,525.0,523.0,512.0,497.0,497.0,504.0,506.0,494.0,470.0
M.0.EL,ARE,HISTCR,PRIMAP-hist_v2.3.1,Gg CO2 / yr,CO2-total-excl-LU,47000.0,52700.0,53300.0,61000.0,67400.0,66400.0,69700.0,68600.0,75900.0,74300.0,106000.0,102000.0,91000.0,118000.0,130000.0,140000.0,141000.0,147000.0,164000.0,168000.0,154000.0,162000.0,199000.0,197000.0,191000.0,211000.0,203000.0,171000.0,170000.0,170000.0
M.0.EL,ARG,HISTCR,PRIMAP-hist_v2.3.1,Gg CO2 / yr,CO2-total-excl-LU,102000.0,106000.0,110000.0,109000.0,115000.0,117000.0,132000.0,133000.0,141000.0,143000.0,139000.0,135000.0,128000.0,138000.0,151000.0,156000.0,165000.0,180000.0,186000.0,171000.0,187000.0,197000.0,198000.0,202000.0,199000.0,204000.0,202000.0,202000.0,201000.0,188000.0
M.0.EL,ARM,HISTCR,PRIMAP-hist_v2.3.1,Gg CO2 / yr,CO2-total-excl-LU,21800.0,20300.0,26600.0,10500.0,10200.0,11300.0,7670.0,7960.0,6670.0,4700.0,3340.0,3400.0,3000.0,3360.0,3620.0,4290.0,4340.0,5130.0,5750.0,4680.0,4660.0,5450.0,6310.0,5960.0,5990.0,5470.0,5590.0,5980.0,7400.0,7000.0
M.0.EL,ATG,HISTCR,PRIMAP-hist_v2.3.1,Gg CO2 / yr,CO2-total-excl-LU,222.0,215.0,212.0,219.0,219.0,226.0,241.0,259.0,274.0,285.0,296.0,300.0,333.0,355.0,369.0,377.0,388.0,410.0,421.0,447.0,458.0,447.0,461.0,465.0,465.0,483.0,494.0,503.0,518.0,537.0
M.0.EL,AUS,HISTCR,PRIMAP-hist_v2.3.1,Gg CO2 / yr,CO2-total-excl-LU,278000.0,280000.0,285000.0,289000.0,294000.0,305000.0,312000.0,320000.0,334000.0,344000.0,350000.0,357000.0,362000.0,369000.0,383000.0,386000.0,393000.0,400000.0,404000.0,407000.0,405000.0,404000.0,406000.0,398000.0,394000.0,402000.0,411000.0,415000.0,416000.0,417000.0
M.0.EL,AUT,HISTCR,PRIMAP-hist_v2.3.1,Gg CO2 / yr,CO2-total-excl-LU,62600.0,66100.0,60600.0,61000.0,61300.0,64300.0,67800.0,67800.0,67500.0,66000.0,66400.0,70500.0,72300.0,77800.0,78000.0,79400.0,77100.0,74400.0,73700.0,67600.0,72300.0,70100.0,67500.0,67900.0,64400.0,66600.0,67500.0,69800.0,66800.0,68200.0
M.0.EL,AZE,HISTCR,PRIMAP-hist_v2.3.1,Gg CO2 / yr,CO2-total-excl-LU,56300.0,52300.0,44900.0,39400.0,34600.0,36900.0,30200.0,29300.0,28900.0,28500.0,29800.0,28900.0,28800.0,31800.0,34100.0,36900.0,35900.0,30900.0,34900.0,28900.0,28000.0,29700.0,31400.0,35000.0,35800.0,36300.0,36300.0,35200.0,37000.0,39100.0
M.0.EL,BDI,HISTCR,PRIMAP-hist_v2.3.1,Gg CO2 / yr,CO2-total-excl-LU,136.0,154.0,142.0,152.0,154.0,155.0,159.0,164.0,164.0,174.0,196.0,163.0,177.0,147.0,192.0,166.0,173.0,175.0,166.0,137.0,200.0,220.0,219.0,216.0,198.0,195.0,219.0,270.0,286.0,287.0
M.0.EL,BEL,HISTCR,PRIMAP-hist_v2.3.1,Gg CO2 / yr,CO2-total-excl-LU,120000.0,123000.0,123000.0,121000.0,125000.0,126000.0,129000.0,124000.0,130000.0,125000.0,127000.0,126000.0,127000.0,128000.0,129000.0,126000.0,124000.0,120000.0,120000.0,108000.0,115000.0,105000.0,102000.0,103000.0,96900.0,101000.0,99900.0,99400.0,100000.0,99700.0
