country,unit,variable,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
AGO,tCO2eq per capita,GHG emissions from petroleum refining (part of Energy systems) per capita,0.01568320522163991,0.015622208514870029,0.015774041168613265,0.01400018520014158,0.015195180591647374,0.014916785805586938,0.014637130832745747,0.014545838462806755,0.013179076896533764,0.01415668735190448,0.012687501315149292,0.012765409952570415,0.012821335274950343,0.010712289152810228,0.010938823752122944,0.01070401743289613,0.009908619097707905,0.009950445053326035,0.009457752955479156,0.010594010533317197,0.010330601594511308,0.008931196920315134,0.009056461177098466,0.009700016232452095,0.00946935313054564,0.010542816282807793,0.007595986364835038,0.0069011001996896445,0.00653832572747095,0.0060593922401168945,0.005113784138801521
ALB,tCO2eq per capita,GHG emissions from petroleum refining (part of Energy systems) per capita,0.06400479516160147,0.06439178750394119,0.06659540815493747,0.06700299276141229,0.06741557616188876,0.04476303523074337,0.0360336871490922,0.03240309441882729,0.032248677973361284,0.02246719482703493,0.02703846567220034,0.021755384744587967,0.027698162903431977,0.02409357760980334,0.011313995095375229,0.029300614447281357,0.01759220005567164,0.018658822323239226,0.030300771142810032,0.022075703522334098,0.013087412861081331,0.01753436309782992,0.009036844732849008,0.00376598619318488,0.011853769542390997,0.0,0.0,0.0,0.0,0.0,0.0
ARE,tCO2eq per capita,GHG emissions from petroleum refining (part of Energy systems) per capita,0.1395296433511245,0.13601416558991802,0.12969444130524158,0.11994486973887955,0.12328112468003294,0.12287177937633198,0.12449970816672383,0.13391906691008815,0.11435749644356952,0.11219768046772302,0.12211314276306155,0.12259819430760445,0.13154180875476354,0.12402471449496232,0.11723407926161898,0.09973439962146557,0.09051470301341162,0.07147881726987511,0.061806201465099166,0.06759909650530327,0.07719638250207776,0.07841898060955575,0.07614237450607651,0.07718680302086083,0.0764435547832678,0.12215073590376055,0.12560673145692622,0.13056013308870915,0.139878331830888,0.13233142074438983,0.10620702903825932
ARG,tCO2eq per capita,GHG emissions from petroleum refining (part of Energy systems) per capita,0.240993521834504,0.27495834514596296,0.2816155303179426,0.27772384543549955,0.20134279008992004,0.21890498699213806,0.19726650041978783,0.226649253347927,0.20964433198586566,0.22402155204161722,0.20686884571192876,0.1995388550765213,0.18757196571294485,0.18729061909112996,0.16782652696133765,0.17626083330736458,0.17420909829290376,0.16415504598883845,0.17197718112844812,0.1775738190301428,0.18080763499414895,0.17451657322602745,0.18686403692152478,0.15055356950885052,0.18222490392434876,0.17735738454398298,0.17259027046984324,0.18183650246563662,0.18106451992652933,0.16698903482146973,0.15266352516154577
AUS,tCO2eq per capita,GHG emissions from petroleum refining (part of Energy systems) per capita,0.3667122155158774,0.37976152429993054,0.32041811186053154,0.3144631931284315,0.32953343662839535,0.31836937162461265,0.3396291961116269,0.30892724015769296,0.32990832077387633,0.3494656662263552,0.34815556753511195,0.34309694204914226,0.3210925910113274,0.3379936632588437,0.31270517568091255,0.28003191808696337,0.24989925151826994,0.25552151755363073,0.23730705706567776,0.22155865118916448,0.2837570958276124,0.28217179354865507,0.25975612384649677,0.23854208582977032,0.21472857649399468,0.1967369364160515,0.1636894891539205,0.1563042184208836,0.13666933994452476,0.13653896583758923,0.11880771721245101
AUT,tCO2eq per capita,GHG emissions from petroleum refining (part of Energy systems) per capita,0.2790584211725939,0.26734362275369183,0.25905893663442936,0.3003058447059205,0.30667021710110653,0.28655944180613707,0.2524090503890116,0.2619652449077508,0.26344275033475245,0.19568508183602165,0.2076220644003931,0.20908902224775944,0.22821698655412295,0.1837813074137377,0.21104754779939122,0.2482162797744095,0.2765022096134056,0.26393759558661234,0.27194977321385483,0.18995785719910402,0.24963173475776132,0.2526309479561988,0.2079782382923066,0.17940242703179063,0.1882164301370081,0.15911211150590804,0.08822542344518529,0.1209174779706114,0.10304511078023568,0.10623644842521103,0.09362273193804459
AZE,tCO2eq per capita,GHG emissions from petroleum refining (part of Energy systems) per capita,0.26051914915263685,0.2472679690014165,0.13259979287596263,0.10281160171051928,0.09579544648557568,0.036393993311515514,0.08785942741208295,0.08228631282492901,0.08330862542651334,0.0775756956562588,0.07091662525159656,0.05242873952066279,0.033180491008877926,0.03293004863919554,0.040888829169927164,0.0591738899646681,0.049442167469105604,0.06737163619731276,0.08413491283063651,0.1061805936532628,0.10325949843677037,0.10461384839904407,0.11280648797347272,0.12081576269903124,0.12031474201734459,0.10555927612051433,0.10310707072446158,0.10443931078777594,0.103214681304026,0.10590276461668131,0.0980631263610136
BEL,tCO2eq per capita,GHG emissions from petroleum refining (part of Energy systems) per capita,0.3999596134550517,0.455231243464182,0.4491182495088678,0.4378063082113842,0.4525206458774627,0.38908815928401935,0.4444942793564444,0.4550581086104892,0.43471882615401264,0.3990619616700626,0.4572719278136812,0.4545318098258214,0.45271337495167074,0.46820196040278206,0.4432413245310948,0.4006146228075708,0.4165297544794926,0.4215652529245132,0.43356721356813877,0.4193687053749769,0.42422454928078207,0.35447895891962716,0.37423471648156303,0.3531258904707033,0.37456868735701854,0.3759512661479364,0.37251584937883353,0.3890857701493025,0.3935707957624073,0.37412299786404013,0.28337881892798317
BGD,tCO2eq per capita,GHG emissions from petroleum refining (part of Energy systems) per capita,0.0013510378445181573,0.0012016490562776919,0.0012613659673550014,0.001482813650352969,0.0014943528784926966,0.001592398389256682,0.0014554815541874498,0.00169658611392584,0.0014443276360019705,0.0014840398074425559,0.0015503609295916298,0.0015723428941092805,0.0014813183723975702,0.0016251532339575053,0.0013437975158838544,0.0007804737588431098,0.0008979930273633722,0.0008652799385135527,0.0007496383209011212,0.0005987732564572045,0.0008785423092744711,0.0009286920572056858,0.000817460127159543,0.0009074855434860373,0.0007809719903038743,0.0008098631813771435,0.0007612397789095462,0.0009180039698176329,0.000937487537622606,0.0009156125302002641,0.0007957732162977378
BGR,tCO2eq per capita,GHG emissions from petroleum refining (part of Energy systems) per capita,0.09856348767516195,0.08303735922024631,0.07210529248618645,0.09602315206012808,0.09346705370973085,0.11475647988530187,0.11148336122262978,0.08171371246000393,0.06553123576171163,0.09792766518111169,0.0787794956458689,0.08163569318661101,0.08752299725627685,0.07697632558733543,0.08480250517697613,0.0898271034285019,0.10877761836500408,0.1032397506248229,0.10748301551365415,0.1366819012517122,0.1284336329755034,0.12709182842682035,0.1296686619751083,0.13446978592905962,0.12502929186269315,0.16135875567411548,0.16930494237931304,0.17613346397309082,0.18626028233018554,0.19457207822917097,0.17865065189504203
