category,country,gas,scenario,source,unit,variable,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
M.0.EL,AFG,CO2,HISTCR,PRIMAP-hist_v2.3.1,MtCO2,Total CO2 emissions (excl. LULUCF),2.81,2.64,1.59,1.52,1.44,1.37,1.29,1.21,1.1500000000000001,0.935,0.921,0.964,1.24,1.3800000000000001,1.08,1.5,1.84,2.47,4.42,6.97,8.65,12.4,10.5,8.83,8.14,8.23,7.1000000000000005,6.86,7.0600000000000005,9.78
M.0.EL,AGO,CO2,HISTCR,PRIMAP-hist_v2.3.1,MtCO2,Total CO2 emissions (excl. LULUCF),10.8,11.200000000000001,11.6,12.0,9.620000000000001,18.6,19.6,16.6,17.2,18.1,16.7,16.6,16.7,18.400000000000002,16.6,15.8,17.5,18.0,19.2,21.1,23.5,24.7,26.5,26.3,38.0,29.1,30.3,29.6,27.6,27.0
M.0.EL,ALB,CO2,HISTCR,PRIMAP-hist_v2.3.1,MtCO2,Total CO2 emissions (excl. LULUCF),4.2700000000000005,6.05,4.03,3.92,4.2,4.08,3.99,4.15,4.89,5.23,3.5500000000000003,4.2700000000000005,4.38,4.7,5.04,4.54,5.03,5.48,5.61,6.01,5.9,6.66,6.390000000000001,6.59,7.3,6.22,6.21,7.16,6.67,7.09
M.0.EL,AND,CO2,HISTCR,PRIMAP-hist_v2.3.1,MtCO2,Total CO2 emissions (excl. LULUCF),0.40900000000000003,0.417,0.426,0.436,0.439,0.466,0.496,0.508,0.534,0.557,0.5680000000000001,0.5680000000000001,0.5740000000000001,0.577,0.601,0.616,0.584,0.579,0.579,0.554,0.556,0.525,0.523,0.512,0.497,0.497,0.504,0.506,0.494,0.47000000000000003
M.0.EL,ARE,CO2,HISTCR,PRIMAP-hist_v2.3.1,MtCO2,Total CO2 emissions (excl. LULUCF),47.0,52.7,53.300000000000004,61.0,67.4,66.4,69.7,68.60000000000001,75.9,74.3,106.0,102.0,91.0,118.0,130.0,140.0,141.0,147.0,164.0,168.0,154.0,162.0,199.0,197.0,191.0,211.0,203.0,171.0,170.0,170.0
M.0.EL,ARG,CO2,HISTCR,PRIMAP-hist_v2.3.1,MtCO2,Total CO2 emissions (excl. LULUCF),102.0,106.0,110.0,109.0,115.0,117.0,132.0,133.0,141.0,143.0,139.0,135.0,128.0,138.0,151.0,156.0,165.0,180.0,186.0,171.0,187.0,197.0,198.0,202.0,199.0,204.0,202.0,202.0,201.0,188.0
M.0.EL,ARM,CO2,HISTCR,PRIMAP-hist_v2.3.1,MtCO2,Total CO2 emissions (excl. LULUCF),21.8,20.3,26.6,10.5,10.200000000000001,11.3,7.67,7.96,6.67,4.7,3.34,3.4,3.0,3.36,3.62,4.29,4.34,5.13,5.75,4.68,4.66,5.45,6.3100000000000005,5.96,5.99,5.47,5.59,5.98,7.4,7.0
M.0.EL,ATG,CO2,HISTCR,PRIMAP-hist_v2.3.1,MtCO2,Total CO2 emissions (excl. LULUCF),0.222,0.215,0.212,0.219,0.219,0.226,0.241,0.259,0.274,0.28500000000000003,0.296,0.3,0.333,0.355,0.369,0.377,0.388,0.41000000000000003,0.421,0.447,0.458,0.447,0.461,0.465,0.465,0.483,0.494,0.503,0.518,0.537
M.0.EL,AUS,CO2,HISTCR,PRIMAP-hist_v2.3.1,MtCO2,Total CO2 emissions (excl. LULUCF),278.0,280.0,285.0,289.0,294.0,305.0,312.0,320.0,334.0,344.0,350.0,357.0,362.0,369.0,383.0,386.0,393.0,400.0,404.0,407.0,405.0,404.0,406.0,398.0,394.0,402.0,411.0,415.0,416.0,417.0
M.0.EL,AUT,CO2,HISTCR,PRIMAP-hist_v2.3.1,MtCO2,Total CO2 emissions (excl. LULUCF),62.6,66.1,60.6,61.0,61.300000000000004,64.3,67.8,67.8,67.5,66.0,66.4,70.5,72.3,77.8,78.0,79.4,77.10000000000001,74.4,73.7,67.6,72.3,70.10000000000001,67.5,67.9,64.4,66.6,67.5,69.8,66.8,68.2
M.0.EL,AZE,CO2,HISTCR,PRIMAP-hist_v2.3.1,MtCO2,Total CO2 emissions (excl. LULUCF),56.300000000000004,52.300000000000004,44.9,39.4,34.6,36.9,30.2,29.3,28.900000000000002,28.5,29.8,28.900000000000002,28.8,31.8,34.1,36.9,35.9,30.900000000000002,34.9,28.900000000000002,28.0,29.7,31.400000000000002,35.0,35.800000000000004,36.300000000000004,36.300000000000004,35.2,37.0,39.1
M.0.EL,BDI,CO2,HISTCR,PRIMAP-hist_v2.3.1,MtCO2,Total CO2 emissions (excl. LULUCF),0.136,0.154,0.14200000000000002,0.152,0.154,0.155,0.159,0.164,0.164,0.17400000000000002,0.196,0.163,0.177,0.147,0.192,0.166,0.17300000000000001,0.17500000000000002,0.166,0.137,0.2,0.22,0.219,0.216,0.198,0.195,0.219,0.27,0.28600000000000003,0.28700000000000003
